epoch,accuracy,loss,val_accuracy,val_loss
0,0.508400022983551,1.4950640201568604,0.7620000243186951,0.9021709561347961
1,0.7760999798774719,0.712922990322113,0.8489999771118164,0.5107191205024719
2,0.8406000137329102,0.5077877640724182,0.8870000243186951,0.38805559277534485
3,0.8773000240325928,0.3978138566017151,0.9070000052452087,0.32593831419944763
4,0.8934000134468079,0.3300248086452484,0.9150000214576721,0.283681184053421
5,0.9126999974250793,0.27671942114830017,0.9229999780654907,0.2583846151828766
6,0.9232000112533569,0.24108324944972992,0.9309999942779541,0.2422380894422531
7,0.9330000281333923,0.2150205820798874,0.9279999732971191,0.22213289141654968
8,0.9380000233650208,0.18998637795448303,0.9309999942779541,0.2142936736345291
9,0.9478999972343445,0.1608079969882965,0.9359999895095825,0.19647245109081268
10,0.9531000256538391,0.1492709368467331,0.9380000233650208,0.1867472380399704
11,0.9577000141143799,0.13243336975574493,0.9409999847412109,0.18525391817092896
12,0.9646000266075134,0.11394772678613663,0.9430000185966492,0.17783188819885254
13,0.9628000259399414,0.10880623757839203,0.9480000138282776,0.17059014737606049
14,0.9682999849319458,0.10094274580478668,0.9480000138282776,0.16878412663936615
15,0.9702000021934509,0.09534195810556412,0.9449999928474426,0.1673552691936493
16,0.9760000109672546,0.07741915434598923,0.9470000267028809,0.1640559732913971
17,0.9753000140190125,0.0760066956281662,0.9459999799728394,0.16632653772830963
